"state_code" "county_code" "site_number" "parameter_code" "poc" "latitude" "longitude" "datum" "parameter" "date_local" "time_local" "date_gmt" "time_gmt" "sample_measurement" "units_of_measure" "units_of_measure_code" "sample_duration" "sample_duration_code" "sample_frequency" "detection_limit" "uncertainty" "qualifier" "method_type" "method" "method_code" "state" "county" "date_of_last_change" "cbsa_code"
"56" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-06" "23:59" "2020-10-07" "04:59" 0.78 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"57" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-06" "23:59" "2020-10-07" "04:59" 0.59 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"58" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-12" "23:59" "2020-10-13" "04:59" 0.27 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"59" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-18" "23:59" "2020-10-19" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"60" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-24" "23:59" "2020-10-25" "04:59" 0.77 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "2 - Operational Deviation." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"61" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-10-30" "23:59" "2020-10-31" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"62" "13" "089" "0002" "43601" 2 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-11-05" "23:59" "2020-11-06" "04:59" 0.2 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 30 DAYS" 0.057 NA NA "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
"63" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-11-05" "23:59" "2020-11-06" "04:59" NA "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.12 NA "AA - Sample Pressure out of Limits." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-03-12" "12060"
"64" "13" "069" "0002" "43601" 1 31.513097 -82.749971 "NAD83" "Ethylene oxide" "2020-11-11" "23:59" "2020-11-12" "04:59" 3.08 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 12TH DAY" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "SS 6L- PRESSURIZED CANISTER - PRECONC: GC/MS" "150" "Georgia" "Coffee" "2021-04-07" "20060"
"65" "13" "089" "0002" "43601" 1 33.6878 -84.2905 "NAD83" "Ethylene oxide" "2020-11-11" "23:59" "2020-11-12" "04:59" 0.51 "Parts per billion Carbon" "078" "24 HOUR" "7" "EVERY 6TH DAY" 0.057 NA "LK - Analyte Identified; Reported Value May Be Biased High." "Non-FRM" "6L SUBATM SS CANISTER - PRECONC: GC/MS" "149" "Georgia" "DeKalb" "2021-01-26" "12060"
